"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"25","Avry","Avry","Avry","FR",42.98136646,"Avry","Avry","Avry","FR","FR","FR",42.98136646,42.98136646,42.98136646
"26","Tinterin","Tentlingen","Tentlingen","FR",42.969984202,"Tinterin","Tentlingen","Tentlingen","FR","FR","FR",42.969984202,42.969984202,42.969984202
"27","Dornach","Dornach","Dornach","SO",42.96955183,"Dornach","Dornach","Dornach","SO","SO","SO",42.96955183,42.96955183,42.96955183
"28","Dozwil","Dozwil","Dozwil","TG",42.772861357,"Dozwil","Dozwil","Dozwil","TG","TG","TG",42.772861357,42.772861357,42.772861357
"29","Sévaz","Sévaz","Sévaz","FR",42.748091603,"Sévaz","Sévaz","Sévaz","FR","FR","FR",42.748091603,42.748091603,42.748091603
"30","Verzasca","Verzasca","Verzasca","TI",42.655367232,"Verzasca","Verzasca","Verzasca","TI","TI","TI",42.655367232,42.655367232,42.655367232
"31","Dittingen","Dittingen","Dittingen","BL",42.647058824,"Dittingen","Dittingen","Dittingen","BL","BL","BL",42.647058824,42.647058824,42.647058824
"32","Rothenbrunnen","Rothenbrunnen","Rothenbrunnen","GR",42.105263158,"Rothenbrunnen","Rothenbrunnen","Rothenbrunnen","GR","GR","GR",42.105263158,42.105263158,42.105263158
"33","Brissago","Brissago","Brissago","TI",42.045454545,"Brissago","Brissago","Brissago","TI","TI","TI",42.045454545,42.045454545,42.045454545
"34","Roggenburg","Roggenburg","Roggenburg","BL",41.984732824,"Roggenburg","Roggenburg","Roggenburg","BL","BL","BL",41.984732824,41.984732824,41.984732824
"35","Buckten","Buckten","Buckten","BL",41.935483871,"Buckten","Buckten","Buckten","BL","BL","BL",41.935483871,41.935483871,41.935483871
"36","Bodio","Bodio","Bodio","TI",41.739130435,"Bodio","Bodio","Bodio","TI","TI","TI",41.739130435,41.739130435,41.739130435
"37","Châtillon (FR)","Châtillon FR","Châtillon FR","FR",41.666666667,"Châtillon (FR)","Châtillon FR","Châtillon FR","FR","FR","FR",41.666666667,41.666666667,41.666666667
"38","Buseno","Buseno","Buseno","GR",41.666666667,"Buseno","Buseno","Buseno","GR","GR","GR",41.666666667,41.666666667,41.666666667
"39","Miglieglia","Miglieglia","Miglieglia","TI",41.666666667,"Miglieglia","Miglieglia","Miglieglia","TI","TI","TI",41.666666667,41.666666667,41.666666667
"40","Locarno","Locarno","Locarno","TI",41.657966172,"Locarno","Locarno","Locarno","TI","TI","TI",41.657966172,41.657966172,41.657966172
"41","Grono","Grono","Grono","GR",41.541755889,"Grono","Grono","Grono","GR","GR","GR",41.541755889,41.541755889,41.541755889
"42","Waldenburg","Waldenburg","Waldenburg","BL",41.26984127,"Waldenburg","Waldenburg","Waldenburg","BL","BL","BL",41.26984127,41.26984127,41.26984127
"43","Rietheim","Rietheim","Rietheim","AG",41.176470588,"Rietheim","Rietheim","Rietheim","AG","AG","AG",41.176470588,41.176470588,41.176470588
"44","Gletterens","Gletterens","Gletterens","FR",41.13785558,"Gletterens","Gletterens","Gletterens","FR","FR","FR",41.13785558,41.13785558,41.13785558
"45","Hallwil","Hallwil","Hallwil","AG",41.133004926,"Hallwil","Hallwil","Hallwil","AG","AG","AG",41.133004926,41.133004926,41.133004926
"46","Le Mouret","Le Mouret","Le Mouret","FR",41.105223316,"Le Mouret","Le Mouret","Le Mouret","FR","FR","FR",41.105223316,41.105223316,41.105223316
"47","Wagenhausen","Wagenhausen","Wagenhausen","TG",40.976933514,"Wagenhausen","Wagenhausen","Wagenhausen","TG","TG","TG",40.976933514,40.976933514,40.976933514
"48","Weiach","Weiach","Weiach","ZH",40.95371669,"Weiach","Weiach","Weiach","ZH","ZH","ZH",40.95371669,40.95371669,40.95371669
"49","Siviriez","Siviriez","Siviriez","FR",40.864864865,"Siviriez","Siviriez","Siviriez","FR","FR","FR",40.864864865,40.864864865,40.864864865
"50","Centovalli","Centovalli","Centovalli","TI",40.828402367,"Centovalli","Centovalli","Centovalli","TI","TI","TI",40.828402367,40.828402367,40.828402367
