"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD",81.609195402,"Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD","VD","VD",81.609195402,81.609195402,81.609195402
"2","Collina d'Oro","Collina d'Oro","Collina d'Oro","TI",65.217391304,"Collina d'Oro","Collina d'Oro","Collina d'Oro","TI","TI","TI",65.217391304,65.217391304,65.217391304
"3","Cerentino","Cerentino","Cerentino","TI",62.962962963,"Cerentino","Cerentino","Cerentino","TI","TI","TI",62.962962963,62.962962963,62.962962963
"4","Grancia","Grancia","Grancia","TI",62.585034014,"Grancia","Grancia","Grancia","TI","TI","TI",62.585034014,62.585034014,62.585034014
"5","Astano","Astano","Astano","TI",50.887573964,"Astano","Astano","Astano","TI","TI","TI",50.887573964,50.887573964,50.887573964
"6","Onsernone","Onsernone","Onsernone","TI",49.253731343,"Onsernone","Onsernone","Onsernone","TI","TI","TI",49.253731343,49.253731343,49.253731343
"7","Rümikon","Rümikon","Rümikon","AG",48.695652174,"Rümikon","Rümikon","Rümikon","AG","AG","AG",48.695652174,48.695652174,48.695652174
"8","Campo (Vallemaggia)","Campo (Vallemaggia)","Campo (Vallemaggia)","TI",48.648648649,"Campo (Vallemaggia)","Campo (Vallemaggia)","Campo (Vallemaggia)","TI","TI","TI",48.648648649,48.648648649,48.648648649
"9","Castaneda","Castaneda","Castaneda","GR",48.062015504,"Castaneda","Castaneda","Castaneda","GR","GR","GR",48.062015504,48.062015504,48.062015504
"10","Prévondavaux","Prévondavaux","Prévondavaux","FR",47.222222222,"Prévondavaux","Prévondavaux","Prévondavaux","FR","FR","FR",47.222222222,47.222222222,47.222222222
"11","Mergoscia","Mergoscia","Mergoscia","TI",46.788990826,"Mergoscia","Mergoscia","Mergoscia","TI","TI","TI",46.788990826,46.788990826,46.788990826
"12","Bedigliora","Bedigliora","Bedigliora","TI",46.258503401,"Bedigliora","Bedigliora","Bedigliora","TI","TI","TI",46.258503401,46.258503401,46.258503401
"13","Auboranges","Auboranges","Auboranges","FR",45.517241379,"Auboranges","Auboranges","Auboranges","FR","FR","FR",45.517241379,45.517241379,45.517241379
"14","Wittinsburg","Wittinsburg","Wittinsburg","BL",44.943820225,"Wittinsburg","Wittinsburg","Wittinsburg","BL","BL","BL",44.943820225,44.943820225,44.943820225
"15","Vallon","Vallon","Vallon","FR",44.444444444,"Vallon","Vallon","Vallon","FR","FR","FR",44.444444444,44.444444444,44.444444444
"16","Rovio","Rovio","Rovio","TI",44.179104478,"Rovio","Rovio","Rovio","TI","TI","TI",44.179104478,44.179104478,44.179104478
"17","Burg im Leimental","Burg im Leimental","Burg im Leimental","BL",44.117647059,"Burg im Leimental","Burg im Leimental","Burg im Leimental","BL","BL","BL",44.117647059,44.117647059,44.117647059
"18","Masein","Masein","Masein","GR",43.852459016,"Masein","Masein","Masein","GR","GR","GR",43.852459016,43.852459016,43.852459016
"19","Roveredo (GR)","Roveredo GR","Roveredo GR","GR",43.736263736,"Roveredo (GR)","Roveredo GR","Roveredo GR","GR","GR","GR",43.736263736,43.736263736,43.736263736
"20","Villarsel-sur-Marly","Villarsel-sur-Marly","Villarsel-sur-Marly","FR",43.58974359,"Villarsel-sur-Marly","Villarsel-sur-Marly","Villarsel-sur-Marly","FR","FR","FR",43.58974359,43.58974359,43.58974359
"21","Crésuz","Crésuz","Crésuz","FR",43.386243386,"Crésuz","Crésuz","Crésuz","FR","FR","FR",43.386243386,43.386243386,43.386243386
"22","Lauwil","Lauwil","Lauwil","BL",43.333333333,"Lauwil","Lauwil","Lauwil","BL","BL","BL",43.333333333,43.333333333,43.333333333
"23","Icogne","Icogne","Icogne","VS",43.089430894,"Icogne","Icogne","Icogne","VS","VS","VS",43.089430894,43.089430894,43.089430894
"24","Elfingen","Elfingen","Elfingen","AG",43.046357616,"Elfingen","Elfingen","Elfingen","AG","AG","AG",43.046357616,43.046357616,43.046357616
